NR,314,200,2001,5683277578,-1,-84.368,33.8355,1000,4,1,1775322774,1775446211,0
NR,314,200,2001,5683268746,-1,-84.37,33.8406,1000,10,1,1775322779,1775446211,0
NR,314,200,2001,5683282186,-1,-84.37,33.8407,1000,7,1,1775322800,1775446211,0
NR,314,200,2001,5683282196,-1,-84.37,33.8401,1000,4,1,1775323527,1775446211,0
NR,314,200,2001,5683283860,-1,-84.3708,33.8409,1000,3,1,1775324876,1775446211,0
NR,314,200,2002,5478551444,-1,-84.271,33.881,1000,1,1,1775328733,1775328733,0
NR,314,200,1501,4057600522,-1,-77.0149,38.8306,1000,7,1,1775973089,1776099901,0
NR,314,200,1510,15526400650,-1,-76.6094,39.2401,1000,6,1,1775978336,1776099907,0
NR,314,200,1510,15526401546,-1,-76.606,39.2405,1000,6,1,1775978346,1776099907,0
NR,314,200,1510,15526401172,-1,-76.5953,39.2409,1000,4,1,1775978386,1776099907,0
NR,314,200,1510,15526401162,-1,-76.5826,39.2412,1000,4,1,1775978456,1776099907,0
NR,314,200,1051,4032000266,-1,-75.5262,39.6917,1000,17,1,1776070273,1776100027,0
LTE,314,400,23,102645009,0,-89.6625,30.5398,1000,10,1,1776284662,1776357241,0
LTE,314,400,23,102645003,0,-89.6624,30.5388,1000,3,1,1776284825,1776357241,0
LTE,314,400,23,102645249,0,-89.6625,30.5388,1000,3,1,1776284881,1776357241,0
LTE,314,400,23,102645264,0,-89.6625,30.5388,1000,3,1,1776285297,1776357241,0
LTE,314,400,23,102631171,0,-89.6625,30.5388,1000,2,1,1776287282,1776287521,0
LTE,314,400,23,102612994,0,-89.6625,30.5388,1000,1,1,1776287523,1776287523,0
LTE,314,400,23,102645259,0,-89.6749,30.4846,1000,2,1,1776290225,1776357241,0
NR,314,200,2017,5004801044,-1,-83.724,33.992,1000,16,1,1777276125,1778736188,0
NR,314,200,2017,5004800394,-1,-83.717,33.9877,1000,24,1,1777276918,1778995517,0
NR,314,200,2017,5004800266,-1,-83.7132,33.9836,1000,17,1,1777279346,1778995517,0
NR,314,200,2017,5004800148,-1,-83.6946,33.9784,1778,25,1,1777279372,1778995517,0
NR,314,200,2017,5004800404,-1,-83.7176,33.9881,1000,14,1,1777996501,1778995517,0
NR,314,200,2014,5772800148,-1,-84.0329,33.9686,1000,11,1,1778049617,1778644394,0
NR,314,200,2014,5772800138,-1,-84.0289,33.9772,1046,22,1,1778050028,1778644394,0
NR,314,200,2014,5772800266,-1,-84.0361,33.967,1000,4,1,1778055836,1778644394,0
NR,314,200,2014,5772800276,-1,-84.0354,33.9678,1000,2,1,1778055941,1778644394,0
NR,314,200,2017,5004800276,-1,-83.7132,33.9833,1000,7,1,1778128776,1778995517,0
NR,314,200,2017,5004800138,-1,-83.7116,33.9812,1000,7,1,1778128781,1778995517,0
NR,314,200,2017,5004801418,-1,-83.7312,33.9942,1000,16,1,1778147472,1778736187,0
LTE,314,400,23,102633233,0,-89.7454,30.5759,1000,1,1,1778703597,1778703597,0
NR,314,20,2017,2081600192,-1,-83.4854,33.9403,1000,3,1,1778650424,1778736187,0
NR,314,20,1245436,2081600144,-1,-83.4826,33.9404,1000,3,1,1778650440,1778736187,0
NR,314,20,1245184,2081600160,-1,-83.4718,33.9413,1000,3,1,1778651251,1778736187,0
NR,314,20,1245184,2081600112,-1,-83.4686,33.941,1000,3,1,1778651851,1778736187,0
NR,314,20,1245436,2081600080,-1,-83.4642,33.9402,1000,3,1,1778651877,1778736187,0
NR,314,20,1245184,2081600432,-1,-83.4121,33.9562,1000,3,1,1778656161,1778736187,0
NR,314,20,1245184,2081600704,-1,-83.4128,33.9587,1000,6,1,1778656759,1778736187,0
NR,314,20,1245184,2081600608,-1,-83.4118,33.9715,1000,3,1,1778656896,1778736187,0
NR,314,20,3276800,5120000208,-1,-119.813,39.5343,1000,2,1,1778082407,1779017042,0
NR,314,20,3276800,5120000608,-1,-119.7869,39.5378,1000,3,1,1778096370,1779017118,0
NR,314,20,3276800,5120000016,-1,-119.8148,39.5284,1000,5,1,1778096552,1779017119,0
NR,314,20,3276800,5120000144,-1,-119.796,39.5364,1000,9,1,1778305477,1779017119,0
NR,314,200,1530,36326404234,-1,-77.6473,37.4123,1000,6,1,1779522831,1779586397,0
